case_id,case_name,case_type,region,period_start,period_end,time_window_years,phase_label,collapse_outcome,collapse_within_next_window,political_fragmentation,elite_conflict,succession_crisis,legitimacy_crisis,administrative_overload,corruption_governance_failure,social_inequality,social_unrest_rebellion,demographic_pressure,migration_pressure,ethnic_sectarian_fragmentation,urban_decline,fiscal_crisis,taxation_extraction_pressure,trade_disruption,inflation_currency_instability,resource_dependency,agricultural_decline,drought_climate_stress,flood_environmental_shock,temperature_anomaly,ecological_degradation,food_insecurity,external_invasion_pressure,civil_war_internal_conflict,military_overstretch,territorial_loss,institutional_rigidity,adaptive_capacity,logistics_food_storage_resilience,alliance_network_strength,recovery_capacity,data_confidence,source_count,notes
rome_west_-100_-75,Western Roman Empire,ancient,Mediterranean,-100,-75,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_-75_-50,Western Roman Empire,ancient,Mediterranean,-75,-50,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_-50_-25,Western Roman Empire,ancient,Mediterranean,-50,-25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_-25_0,Western Roman Empire,ancient,Mediterranean,-25,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_0_25,Western Roman Empire,ancient,Mediterranean,0,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_25_50,Western Roman Empire,ancient,Mediterranean,25,50,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_50_75,Western Roman Empire,ancient,Mediterranean,50,75,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_75_100,Western Roman Empire,ancient,Mediterranean,75,100,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_100_125,Western Roman Empire,ancient,Mediterranean,100,125,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_125_150,Western Roman Empire,ancient,Mediterranean,125,150,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_150_175,Western Roman Empire,ancient,Mediterranean,150,175,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_175_200,Western Roman Empire,ancient,Mediterranean,175,200,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_200_225,Western Roman Empire,ancient,Mediterranean,200,225,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_225_250,Western Roman Empire,ancient,Mediterranean,225,250,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_250_275,Western Roman Empire,ancient,Mediterranean,250,275,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_275_300,Western Roman Empire,ancient,Mediterranean,275,300,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_300_325,Western Roman Empire,ancient,Mediterranean,300,325,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_325_350,Western Roman Empire,ancient,Mediterranean,325,350,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_350_375,Western Roman Empire,ancient,Mediterranean,350,375,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_375_400,Western Roman Empire,ancient,Mediterranean,375,400,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_400_425,Western Roman Empire,ancient,Mediterranean,400,425,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_425_450,Western Roman Empire,ancient,Mediterranean,425,450,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_450_475,Western Roman Empire,ancient,Mediterranean,450,475,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_475_500,Western Roman Empire,ancient,Mediterranean,475,500,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bronze_age_-1300_-1275,Bronze Age Collapse States,ancient,Eastern Mediterranean,-1300,-1275,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bronze_age_-1275_-1250,Bronze Age Collapse States,ancient,Eastern Mediterranean,-1275,-1250,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bronze_age_-1250_-1225,Bronze Age Collapse States,ancient,Eastern Mediterranean,-1250,-1225,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bronze_age_-1225_-1200,Bronze Age Collapse States,ancient,Eastern Mediterranean,-1225,-1200,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bronze_age_-1200_-1175,Bronze Age Collapse States,ancient,Eastern Mediterranean,-1200,-1175,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bronze_age_-1175_-1150,Bronze Age Collapse States,ancient,Eastern Mediterranean,-1175,-1150,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bronze_age_-1150_-1125,Bronze Age Collapse States,ancient,Eastern Mediterranean,-1150,-1125,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bronze_age_-1125_-1100,Bronze Age Collapse States,ancient,Eastern Mediterranean,-1125,-1100,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_600_625,Maya,ancient,Mesoamerica,600,625,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_625_650,Maya,ancient,Mesoamerica,625,650,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_650_675,Maya,ancient,Mesoamerica,650,675,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_675_700,Maya,ancient,Mesoamerica,675,700,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_700_725,Maya,ancient,Mesoamerica,700,725,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_725_750,Maya,ancient,Mesoamerica,725,750,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_750_775,Maya,ancient,Mesoamerica,750,775,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_775_800,Maya,ancient,Mesoamerica,775,800,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_800_825,Maya,ancient,Mesoamerica,800,825,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_825_850,Maya,ancient,Mesoamerica,825,850,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_850_875,Maya,ancient,Mesoamerica,850,875,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_875_900,Maya,ancient,Mesoamerica,875,900,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_900_925,Maya,ancient,Mesoamerica,900,925,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_925_950,Maya,ancient,Mesoamerica,925,950,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akkadian_-2350_-2325,Akkadian Empire,ancient,Mesopotamia,-2350,-2325,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akkadian_-2325_-2300,Akkadian Empire,ancient,Mesopotamia,-2325,-2300,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akkadian_-2300_-2275,Akkadian Empire,ancient,Mesopotamia,-2300,-2275,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akkadian_-2275_-2250,Akkadian Empire,ancient,Mesopotamia,-2275,-2250,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akkadian_-2250_-2225,Akkadian Empire,ancient,Mesopotamia,-2250,-2225,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akkadian_-2225_-2200,Akkadian Empire,ancient,Mesopotamia,-2225,-2200,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akkadian_-2200_-2175,Akkadian Empire,ancient,Mesopotamia,-2200,-2175,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akkadian_-2175_-2150,Akkadian Empire,ancient,Mesopotamia,-2175,-2150,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1000_1025,Khmer Empire,premodern,Southeast Asia,1000,1025,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1025_1050,Khmer Empire,premodern,Southeast Asia,1025,1050,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1050_1075,Khmer Empire,premodern,Southeast Asia,1050,1075,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1075_1100,Khmer Empire,premodern,Southeast Asia,1075,1100,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1100_1125,Khmer Empire,premodern,Southeast Asia,1100,1125,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1125_1150,Khmer Empire,premodern,Southeast Asia,1125,1150,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1150_1175,Khmer Empire,premodern,Southeast Asia,1150,1175,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1175_1200,Khmer Empire,premodern,Southeast Asia,1175,1200,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1200_1225,Khmer Empire,premodern,Southeast Asia,1200,1225,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1225_1250,Khmer Empire,premodern,Southeast Asia,1225,1250,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1250_1275,Khmer Empire,premodern,Southeast Asia,1250,1275,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1275_1300,Khmer Empire,premodern,Southeast Asia,1275,1300,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1300_1325,Khmer Empire,premodern,Southeast Asia,1300,1325,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1325_1350,Khmer Empire,premodern,Southeast Asia,1325,1350,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1350_1375,Khmer Empire,premodern,Southeast Asia,1350,1375,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1375_1400,Khmer Empire,premodern,Southeast Asia,1375,1400,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1400_1425,Khmer Empire,premodern,Southeast Asia,1400,1425,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1425_1450,Khmer Empire,premodern,Southeast Asia,1425,1450,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
han_150_160,Han Dynasty Crisis,ancient,East Asia,150,160,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
han_160_170,Han Dynasty Crisis,ancient,East Asia,160,170,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
han_170_180,Han Dynasty Crisis,ancient,East Asia,170,180,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
han_180_190,Han Dynasty Crisis,ancient,East Asia,180,190,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
han_190_200,Han Dynasty Crisis,ancient,East Asia,190,200,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
han_200_210,Han Dynasty Crisis,ancient,East Asia,200,210,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
han_210_220,Han Dynasty Crisis,ancient,East Asia,210,220,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine_1000_1025,Byzantine Decline,premodern,Eastern Mediterranean,1000,1025,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine_1025_1050,Byzantine Decline,premodern,Eastern Mediterranean,1025,1050,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine_1050_1075,Byzantine Decline,premodern,Eastern Mediterranean,1050,1075,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine_1075_1100,Byzantine Decline,premodern,Eastern Mediterranean,1075,1100,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine_1100_1125,Byzantine Decline,premodern,Eastern Mediterranean,1100,1125,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
