case_id,case_name,case_type,region,period_start,period_end,time_window_years,phase_label,collapse_outcome,collapse_within_next_window,political_fragmentation,elite_conflict,succession_crisis,legitimacy_crisis,administrative_overload,corruption_governance_failure,social_inequality,social_unrest_rebellion,demographic_pressure,migration_pressure,ethnic_sectarian_fragmentation,urban_decline,fiscal_crisis,taxation_extraction_pressure,trade_disruption,inflation_currency_instability,resource_dependency,agricultural_decline,drought_climate_stress,flood_environmental_shock,temperature_anomaly,ecological_degradation,food_insecurity,external_invasion_pressure,civil_war_internal_conflict,military_overstretch,territorial_loss,institutional_rigidity,adaptive_capacity,logistics_food_storage_resilience,alliance_network_strength,recovery_capacity,data_confidence,source_count,notes
byzantine_1000_1025,Byzantine Decline,premodern,Eastern Mediterranean,1000,1025,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine_1025_1050,Byzantine Decline,premodern,Eastern Mediterranean,1025,1050,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine_1050_1075,Byzantine Decline,premodern,Eastern Mediterranean,1050,1075,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine_1075_1100,Byzantine Decline,premodern,Eastern Mediterranean,1075,1100,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine_1100_1125,Byzantine Decline,premodern,Eastern Mediterranean,1100,1125,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine_1125_1150,Byzantine Decline,premodern,Eastern Mediterranean,1125,1150,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine_1150_1175,Byzantine Decline,premodern,Eastern Mediterranean,1150,1175,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine_1175_1200,Byzantine Decline,premodern,Eastern Mediterranean,1175,1200,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine_1200_1225,Byzantine Decline,premodern,Eastern Mediterranean,1200,1225,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine_1225_1250,Byzantine Decline,premodern,Eastern Mediterranean,1225,1250,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine_1250_1275,Byzantine Decline,premodern,Eastern Mediterranean,1250,1275,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine_1275_1300,Byzantine Decline,premodern,Eastern Mediterranean,1275,1300,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine_1300_1325,Byzantine Decline,premodern,Eastern Mediterranean,1300,1325,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine_1325_1350,Byzantine Decline,premodern,Eastern Mediterranean,1325,1350,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine_1350_1375,Byzantine Decline,premodern,Eastern Mediterranean,1350,1375,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine_1375_1400,Byzantine Decline,premodern,Eastern Mediterranean,1375,1400,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine_1400_1425,Byzantine Decline,premodern,Eastern Mediterranean,1400,1425,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine_1425_1450,Byzantine Decline,premodern,Eastern Mediterranean,1425,1450,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byzantine_1450_1453,Byzantine Decline,premodern,Eastern Mediterranean,1450,1453,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
