case_id,case_name,case_type,region,period_start,period_end,time_window_years,phase_label,collapse_outcome,collapse_within_next_window,political_fragmentation,elite_conflict,succession_crisis,legitimacy_crisis,administrative_overload,corruption_governance_failure,social_inequality,social_unrest_rebellion,demographic_pressure,migration_pressure,ethnic_sectarian_fragmentation,urban_decline,fiscal_crisis,taxation_extraction_pressure,trade_disruption,inflation_currency_instability,resource_dependency,agricultural_decline,drought_climate_stress,flood_environmental_shock,temperature_anomaly,ecological_degradation,food_insecurity,external_invasion_pressure,civil_war_internal_conflict,military_overstretch,territorial_loss,institutional_rigidity,adaptive_capacity,logistics_food_storage_resilience,alliance_network_strength,recovery_capacity,data_confidence,source_count,notes
mesopotamian_-2100_-2075,Classic Mesopotamian States,ancient,Mesopotamia,-2100,-2075,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesopotamian_-2075_-2050,Classic Mesopotamian States,ancient,Mesopotamia,-2075,-2050,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesopotamian_-2050_-2025,Classic Mesopotamian States,ancient,Mesopotamia,-2050,-2025,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesopotamian_-2025_-2000,Classic Mesopotamian States,ancient,Mesopotamia,-2025,-2000,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesopotamian_-2000_-1975,Classic Mesopotamian States,ancient,Mesopotamia,-2000,-1975,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesopotamian_-1975_-1950,Classic Mesopotamian States,ancient,Mesopotamia,-1975,-1950,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesopotamian_-1950_-1925,Classic Mesopotamian States,ancient,Mesopotamia,-1950,-1925,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesopotamian_-1925_-1900,Classic Mesopotamian States,ancient,Mesopotamia,-1925,-1900,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesopotamian_-1900_-1875,Classic Mesopotamian States,ancient,Mesopotamia,-1900,-1875,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesopotamian_-1875_-1850,Classic Mesopotamian States,ancient,Mesopotamia,-1875,-1850,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesopotamian_-1850_-1825,Classic Mesopotamian States,ancient,Mesopotamia,-1850,-1825,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesopotamian_-1825_-1800,Classic Mesopotamian States,ancient,Mesopotamia,-1825,-1800,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesopotamian_-1800_-1775,Classic Mesopotamian States,ancient,Mesopotamia,-1800,-1775,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesopotamian_-1775_-1750,Classic Mesopotamian States,ancient,Mesopotamia,-1775,-1750,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesopotamian_-1750_-1725,Classic Mesopotamian States,ancient,Mesopotamia,-1750,-1725,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesopotamian_-1725_-1700,Classic Mesopotamian States,ancient,Mesopotamia,-1725,-1700,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesopotamian_-1700_-1675,Classic Mesopotamian States,ancient,Mesopotamia,-1700,-1675,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesopotamian_-1675_-1650,Classic Mesopotamian States,ancient,Mesopotamia,-1675,-1650,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesopotamian_-1650_-1625,Classic Mesopotamian States,ancient,Mesopotamia,-1650,-1625,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesopotamian_-1625_-1600,Classic Mesopotamian States,ancient,Mesopotamia,-1625,-1600,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
