case_id,case_name,case_type,region,period_start,period_end,time_window_years,phase_label,collapse_outcome,collapse_within_next_window,political_fragmentation,elite_conflict,succession_crisis,legitimacy_crisis,administrative_overload,corruption_governance_failure,social_inequality,social_unrest_rebellion,demographic_pressure,migration_pressure,ethnic_sectarian_fragmentation,urban_decline,fiscal_crisis,taxation_extraction_pressure,trade_disruption,inflation_currency_instability,resource_dependency,agricultural_decline,drought_climate_stress,flood_environmental_shock,temperature_anomaly,ecological_degradation,food_insecurity,external_invasion_pressure,civil_war_internal_conflict,military_overstretch,territorial_loss,institutional_rigidity,adaptive_capacity,logistics_food_storage_resilience,alliance_network_strength,recovery_capacity,data_confidence,source_count,notes
easter_island_1200_1225,Easter Island,premodern,Pacific,1200,1225,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easter_island_1225_1250,Easter Island,premodern,Pacific,1225,1250,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easter_island_1250_1275,Easter Island,premodern,Pacific,1250,1275,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easter_island_1275_1300,Easter Island,premodern,Pacific,1275,1300,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easter_island_1300_1325,Easter Island,premodern,Pacific,1300,1325,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easter_island_1325_1350,Easter Island,premodern,Pacific,1325,1350,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easter_island_1350_1375,Easter Island,premodern,Pacific,1350,1375,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easter_island_1375_1400,Easter Island,premodern,Pacific,1375,1400,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easter_island_1400_1425,Easter Island,premodern,Pacific,1400,1425,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easter_island_1425_1450,Easter Island,premodern,Pacific,1425,1450,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easter_island_1450_1475,Easter Island,premodern,Pacific,1450,1475,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easter_island_1475_1500,Easter Island,premodern,Pacific,1475,1500,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easter_island_1500_1525,Easter Island,premodern,Pacific,1500,1525,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easter_island_1525_1550,Easter Island,premodern,Pacific,1525,1550,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easter_island_1550_1575,Easter Island,premodern,Pacific,1550,1575,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easter_island_1575_1600,Easter Island,premodern,Pacific,1575,1600,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easter_island_1600_1625,Easter Island,premodern,Pacific,1600,1625,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easter_island_1625_1650,Easter Island,premodern,Pacific,1625,1650,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easter_island_1650_1675,Easter Island,premodern,Pacific,1650,1675,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
easter_island_1675_1700,Easter Island,premodern,Pacific,1675,1700,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
