case_id,case_name,case_type,region,period_start,period_end,time_window_years,phase_label,collapse_outcome,collapse_within_next_window,political_fragmentation,elite_conflict,succession_crisis,legitimacy_crisis,administrative_overload,corruption_governance_failure,social_inequality,social_unrest_rebellion,demographic_pressure,migration_pressure,ethnic_sectarian_fragmentation,urban_decline,fiscal_crisis,taxation_extraction_pressure,trade_disruption,inflation_currency_instability,resource_dependency,agricultural_decline,drought_climate_stress,flood_environmental_shock,temperature_anomaly,ecological_degradation,food_insecurity,external_invasion_pressure,civil_war_internal_conflict,military_overstretch,territorial_loss,institutional_rigidity,adaptive_capacity,logistics_food_storage_resilience,alliance_network_strength,recovery_capacity,data_confidence,source_count,notes
khmer_1000_1025,Khmer Empire,premodern,Southeast Asia,1000,1025,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1025_1050,Khmer Empire,premodern,Southeast Asia,1025,1050,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1050_1075,Khmer Empire,premodern,Southeast Asia,1050,1075,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1075_1100,Khmer Empire,premodern,Southeast Asia,1075,1100,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1100_1125,Khmer Empire,premodern,Southeast Asia,1100,1125,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1125_1150,Khmer Empire,premodern,Southeast Asia,1125,1150,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1150_1175,Khmer Empire,premodern,Southeast Asia,1150,1175,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1175_1200,Khmer Empire,premodern,Southeast Asia,1175,1200,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1200_1225,Khmer Empire,premodern,Southeast Asia,1200,1225,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1225_1250,Khmer Empire,premodern,Southeast Asia,1225,1250,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1250_1275,Khmer Empire,premodern,Southeast Asia,1250,1275,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1275_1300,Khmer Empire,premodern,Southeast Asia,1275,1300,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1300_1325,Khmer Empire,premodern,Southeast Asia,1300,1325,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1325_1350,Khmer Empire,premodern,Southeast Asia,1325,1350,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1350_1375,Khmer Empire,premodern,Southeast Asia,1350,1375,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1375_1400,Khmer Empire,premodern,Southeast Asia,1375,1400,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1400_1425,Khmer Empire,premodern,Southeast Asia,1400,1425,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khmer_1425_1450,Khmer Empire,premodern,Southeast Asia,1425,1450,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
