case_id,case_name,case_type,region,period_start,period_end,time_window_years,phase_label,collapse_outcome,collapse_within_next_window,political_fragmentation,elite_conflict,succession_crisis,legitimacy_crisis,administrative_overload,corruption_governance_failure,social_inequality,social_unrest_rebellion,demographic_pressure,migration_pressure,ethnic_sectarian_fragmentation,urban_decline,fiscal_crisis,taxation_extraction_pressure,trade_disruption,inflation_currency_instability,resource_dependency,agricultural_decline,drought_climate_stress,flood_environmental_shock,temperature_anomaly,ecological_degradation,food_insecurity,external_invasion_pressure,civil_war_internal_conflict,military_overstretch,territorial_loss,institutional_rigidity,adaptive_capacity,logistics_food_storage_resilience,alliance_network_strength,recovery_capacity,data_confidence,source_count,notes
maya_600_625,Maya,ancient,Mesoamerica,600,625,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_625_650,Maya,ancient,Mesoamerica,625,650,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_650_675,Maya,ancient,Mesoamerica,650,675,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_675_700,Maya,ancient,Mesoamerica,675,700,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_700_725,Maya,ancient,Mesoamerica,700,725,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_725_750,Maya,ancient,Mesoamerica,725,750,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_750_775,Maya,ancient,Mesoamerica,750,775,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_775_800,Maya,ancient,Mesoamerica,775,800,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_800_825,Maya,ancient,Mesoamerica,800,825,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_825_850,Maya,ancient,Mesoamerica,825,850,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_850_875,Maya,ancient,Mesoamerica,850,875,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_875_900,Maya,ancient,Mesoamerica,875,900,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_900_925,Maya,ancient,Mesoamerica,900,925,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maya_925_950,Maya,ancient,Mesoamerica,925,950,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
