case_id,case_name,case_type,region,period_start,period_end,time_window_years,phase_label,collapse_outcome,collapse_within_next_window,political_fragmentation,elite_conflict,succession_crisis,legitimacy_crisis,administrative_overload,corruption_governance_failure,social_inequality,social_unrest_rebellion,demographic_pressure,migration_pressure,ethnic_sectarian_fragmentation,urban_decline,fiscal_crisis,taxation_extraction_pressure,trade_disruption,inflation_currency_instability,resource_dependency,agricultural_decline,drought_climate_stress,flood_environmental_shock,temperature_anomaly,ecological_degradation,food_insecurity,external_invasion_pressure,civil_war_internal_conflict,military_overstretch,territorial_loss,institutional_rigidity,adaptive_capacity,logistics_food_storage_resilience,alliance_network_strength,recovery_capacity,data_confidence,source_count,notes
rome_west_-100_-75,Western Roman Empire,ancient,Mediterranean,-100,-75,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_-75_-50,Western Roman Empire,ancient,Mediterranean,-75,-50,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_-50_-25,Western Roman Empire,ancient,Mediterranean,-50,-25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_-25_0,Western Roman Empire,ancient,Mediterranean,-25,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_0_25,Western Roman Empire,ancient,Mediterranean,0,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_25_50,Western Roman Empire,ancient,Mediterranean,25,50,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_50_75,Western Roman Empire,ancient,Mediterranean,50,75,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_75_100,Western Roman Empire,ancient,Mediterranean,75,100,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_100_125,Western Roman Empire,ancient,Mediterranean,100,125,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_125_150,Western Roman Empire,ancient,Mediterranean,125,150,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_150_175,Western Roman Empire,ancient,Mediterranean,150,175,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_175_200,Western Roman Empire,ancient,Mediterranean,175,200,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_200_225,Western Roman Empire,ancient,Mediterranean,200,225,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_225_250,Western Roman Empire,ancient,Mediterranean,225,250,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_250_275,Western Roman Empire,ancient,Mediterranean,250,275,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_275_300,Western Roman Empire,ancient,Mediterranean,275,300,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_300_325,Western Roman Empire,ancient,Mediterranean,300,325,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_325_350,Western Roman Empire,ancient,Mediterranean,325,350,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_350_375,Western Roman Empire,ancient,Mediterranean,350,375,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_375_400,Western Roman Empire,ancient,Mediterranean,375,400,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_400_425,Western Roman Empire,ancient,Mediterranean,400,425,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_425_450,Western Roman Empire,ancient,Mediterranean,425,450,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_450_475,Western Roman Empire,ancient,Mediterranean,450,475,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_west_475_500,Western Roman Empire,ancient,Mediterranean,475,500,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
