case_id,case_name,case_type,region,period_start,period_end,time_window_years,phase_label,collapse_outcome,collapse_within_next_window,political_fragmentation,elite_conflict,succession_crisis,legitimacy_crisis,administrative_overload,corruption_governance_failure,social_inequality,social_unrest_rebellion,demographic_pressure,migration_pressure,ethnic_sectarian_fragmentation,urban_decline,fiscal_crisis,taxation_extraction_pressure,trade_disruption,inflation_currency_instability,resource_dependency,agricultural_decline,drought_climate_stress,flood_environmental_shock,temperature_anomaly,ecological_degradation,food_insecurity,external_invasion_pressure,civil_war_internal_conflict,military_overstretch,territorial_loss,institutional_rigidity,adaptive_capacity,logistics_food_storage_resilience,alliance_network_strength,recovery_capacity,data_confidence,source_count,notes
western_roman_empire,Western Roman Empire,ancient,Mediterranean,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Starter row. Duplicate this row into multiple time windows for coding.
bronze_age_collapse_states,Bronze Age Collapse States,ancient,Eastern Mediterranean / Near East,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Starter row. Duplicate this row into multiple time windows for coding.
maya_classic_collapse,Maya,ancient,Mesoamerica,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Starter row. Duplicate this row into multiple time windows for coding.
akkadian_empire,Akkadian Empire,ancient,Mesopotamia,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Starter row. Duplicate this row into multiple time windows for coding.
khmer_empire,Khmer Empire,premodern,Southeast Asia,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Starter row. Duplicate this row into multiple time windows for coding.
han_dynasty_crisis,Han Dynasty Crisis,ancient,East Asia,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Starter row. Duplicate this row into multiple time windows for coding.
byzantine_decline,Byzantine Decline,premodern,Eastern Mediterranean,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Starter row. Duplicate this row into multiple time windows for coding.
sassanian_empire,Sassanian Empire,ancient,Middle East,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Starter row. Duplicate this row into multiple time windows for coding.
easter_island,Easter Island,premodern,Pacific,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Starter row. Duplicate this row into multiple time windows for coding.
classic_mesopotamian_states,Classic Mesopotamian States,ancient,Mesopotamia,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Starter row. Duplicate this row into multiple time windows for coding.
ming_qing_transition,Ming/Qing Transition,premodern,East Asia,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Starter row. Duplicate this row into multiple time windows for coding.
aztec_empire,Aztec Empire,premodern,Mesoamerica,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Starter row. Duplicate this row into multiple time windows for coding.
inca_empire,Inca Empire,premodern,Andes,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Starter row. Duplicate this row into multiple time windows for coding.
soviet_union,Soviet Union,modern,Eurasia,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Starter row. Duplicate this row into multiple time windows for coding.
yugoslavia,Yugoslavia,modern,Balkans,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Starter row. Duplicate this row into multiple time windows for coding.
